"date","max_light","max_temp","average_light","average_temp","min_light","min_temp","inches_rain"
"08/18/2023",2791.68,34.23,655.568888888889,29.6033333333333,0,27.11,0.04
"08/19/2023",30517.76,56.365,4187.28077205882,33.8123406862745,0,25.57,0
"08/20/2023",23845.12,46.18,2264.88791666667,29.9579166666667,0,25.995,0.05
"08/21/2023",40775.68,48.4425,6307.419375,32.1073958333333,0,25.7175,0
"08/22/2023",48458.24,56.52,6161.33166666667,31.5715625,0,24.0525,0
"08/23/2023",33600.64,52.41,4619.816875,31.6209375,0,24.5175,0
"08/24/2023",38556.16,52.99,5001.0040625,31.5813541666667,0,25.61,0
"08/25/2023",50444.8,53.2675,5919.70322916667,31.26,0,23.8575,0
"08/26/2023",44175.36,54.4925,5507.95583333333,32.274375,0,24.74,0
"08/27/2023",28956.16,53.26,3145.10729166667,30.6455208333333,0,24.0425,0
"08/28/2023",46173.44,54.36,4702.97739583333,32.0732291666667,0,25.33,0
"08/29/2023",36870.4,50.34,3823.80364583333,31.169375,0,25.77,0.06
"08/30/2023",6055.68,29.31,1235.24489583333,26.8225,0,25.675,0.37
"08/31/2023",33452.16,46.0425,3690.23083333333,29.2972916666667,0,25.6825,0.71
"09/01/2023",22739.2,39.7425,2701.5925,27.63125,0,24.9125,0.43
"09/02/2023",25477.76,34.96,2693.9009375,26.9896875,0,23.2525,0
"09/03/2023",55899.52,48.84,6445.413125,27.5433333333333,0,21.8975,0
"09/04/2023",60648.96,48.975,5116.961875,27.4471875,0,21.115,0
"09/05/2023",59251.2,49.7425,6690.561875,28.0404166666667,0,20.3,0
"09/06/2023",61056,51.06,7397.939375,29.3619791666667,0,22.165,0
"09/07/2023",60229.12,52.775,5891.7796875,29.6758333333333,0,22.585,0
"09/08/2023",23165.44,37.3525,2069.42572916667,24.9555208333333,0,21.76,0.49
"09/09/2023",55613.44,46.8525,6135.021875,27.2736458333333,0,20.0975,0
"09/10/2023",61189.12,50.5975,6516.13010416667,29.2719791666667,0,22.7,0
"09/11/2023",61265.92,50.7275,6076.14166666667,29.4515625,0,23.1525,0.99
"09/12/2023",103.745,23.5275,12.976875,23.0693303571429,0,22.6175,0
